"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
237120636,Australia Dermapen,enabled,4718,281,1471317,5.96%
237130836,USA Dermapen,enabled,38757,1181,888493,3.05%
Total, --, --,43475,1462,1000513,3.36%
