"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
230130194,Campaign Display - $280 Service Special,enabled,154765,283,982261,0.18%
Total, --, --,154765,283,982261,0.18%
