"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
239641709,*AussieWeb,enabled,2891,263,2488783,9.10%
217154189,New Direct Mail Campaign,paused,0,0,0,0.00%
216187829,Direct Mail,removed,0,0,0,0.00%
192920189,*Adwords Team|ANO|SYD|DirectMail,paused,0,0,0,0.00%
Total, --, --,2891,263,2488783,9.10%
