"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
187575161,Remarketing - New Car Sales,enabled,98572,192,737344,0.19%
187936361,Desktop Search - New Car Sales,enabled,156252,1681,1173712,1.08%
187957961,Desktop Search - General,enabled,10276,600,2435900,5.84%
187967441,Desktop Search - Service,enabled,3980,134,8583134,3.37%
189136721,Remarketing - Service,enabled,34071,35,765714,0.10%
205900841,Campaign Display -  Day Sale - Nov 2014,paused,478475,1015,1895509,0.21%
208311881,Campaign Display -  Day Sale - Nov 2014 Extended,enabled,503953,682,1956736,0.14%
196873961,Campaign Display - 3 Day Sale - Sep 2014,paused,0,0,0,0.00%
199325441,Campaign Display - 4 Day Sale - Oct 2014,paused,0,0,0,0.00%
187962161,Desktop Search - Finance,paused,0,0,0,0.00%
192836081,Campaign Display - 4 Day Sale - Sep 2014,paused,0,0,0,0.00%
189556361,Display,removed,0,0,0,0.00%
192842081,Campaign Remarketing - 4 Day Sale - Sep 2014,paused,0,0,0,0.00%
187969121,Desktop Search - Parts,paused,0,0,0,0.00%
189513641,Campaign Display - 3 Day Sale - Aug 2014,paused,0,0,0,0.00%
201587441,Campaign Display - 4 Day Sale - Oct 2014 Extended,paused,0,0,0,0.00%
Total, --, --,1285579,4339,1846392,0.34%
