"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
220103763,Desktop Search - JTI Courses,enabled,35290,437,3007986,1.24%
226554723,Display,paused,158097,330,656212,0.21%
231028083,Remarketing,enabled,87692,231,806753,0.26%
Total, --, --,281079,998,1720842,0.36%
