"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
178194027,Desktop Search - Cooling Systems,enabled,20056,94,4281277,0.47%
178194147,Desktop Search - Heating Systems,enabled,23906,345,4264261,1.44%
178194267,Desktop Search - Brand Specific,enabled,5581,134,1863657,2.40%
178194387,Desktop Search - Generic Terms,enabled,4608,141,6783972,3.06%
185578227,Display,enabled,547378,395,765139,0.07%
199552107,Remarketing,enabled,2146,4,927500,0.19%
177504747,Campaign #1,removed,0,0,0,0.00%
Total, --, --,603675,1113,3042066,0.18%
