"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
214897881,Desktop Search - Blinds,enabled,24064,387,2204780,1.61%
214934721,Desktop Search - Curtains,enabled,10032,480,1896250,4.78%
214936881,Desktop Search - Shutters,enabled,78,3,22923333,3.85%
Total, --, --,34174,870,2106000,2.55%
