"CAMPAIGN_PERFORMANCE_REPORT (Oct 24, 2014-Nov 22, 2014)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Avg. CPC,CTR
241818083,Desktop Search,enabled,8959,64,12292344,0.71%
246486683,Remarketing,enabled,88303,241,590083,0.27%
Total, --, --,97262,305,3045639,0.31%
